Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	0.21428572	0.49692932	1.0	-0.1	451.14285	-0.0133462995	0.0074145817	-0.0009252094	-0.027458306	135000	0.0	0.021467214	-0.0032043369	-0.0021117602	0.91267806	0.0064982823	0.06739999	79.0	122.42959570884705
27	-0.1	0.0	-0.1	-0.1	390.0	0.029239642	0.025482673	0.06923762	-0.009237319	140000	-3.8743018e-08	0.0037654142	-0.00361512	-0.003151336	0.9064466	0.0078658685	0.0742	79.0	127.93679070472717
28	-0.1	0.0	-0.1	-0.1	503.25	-0.011341025	0.011061133	0.0014339872	-0.02865446	145000	5.9604646e-09	0.0005778307	-0.0025109306	-6.912467e-05	0.9004895	0.015814316	0.22060001	6.0	130.50963044166565
29	-0.08571429	0.034992713	0.0	-0.1	591.1429	-0.016744379	0.0039850995	-0.009944338	-0.022086151	150000	2.9802322e-08	0.00046889373	-0.006632124	-3.310004e-05	0.90061456	0.007742713	0.087	79.0	135.8690619468689
30	0.08333333	0.4099458	1.0	-0.1	385.0	-0.013677908	0.0054523945	-0.0055553354	-0.02614164	155000	1.7881394e-08	0.0109032225	-0.0036490872	-0.00077562674	0.90343034	0.01707055	0.2898	7.0	138.46743726730347
31	0.037499994	0.36379078	1.0	-0.1	485.0	0.0053809937	0.021950066	0.039020643	-0.023062252	160000	0.0	0.011366639	-0.0027647633	-0.0015538239	0.9039153	0.006638582	0.08580001	79.0	143.84098362922668
32	0.11999999	0.43999997	1.0	-0.1	421.9	0.0023022224	0.036870893	0.050600417	-0.073180184	165000	0.0	0.020904636	-0.0044318708	-0.0022086338	0.8842651	0.006241063	0.0962	79.0	149.20953464508057
33	0.01	0.32999998	1.0	-0.1	360.3	0.026698843	0.031236477	0.07462509	-0.039790716	170000	4.4703485e-09	0.011746532	-0.0016167343	-0.001051252	0.87819594	0.015310529	0.2328	8.0	151.94908833503723
34	-0.0153846145	0.2931163	1.0	-0.1	338.6154	0.01269888	0.020782404	0.0477283	-0.0205004	175000	-5.9604646e-09	0.013125184	-0.0021898828	-0.0031402882	0.8776695	0.008787112	0.0782	79.0	157.5410053730011
35	0.057142854	0.3849198	1.0	-0.1	292.07144	-0.0061244997	0.022971047	0.037517462	-0.04690111	180000	-1.1920929e-08	0.019999564	-0.004717505	-0.0009975941	0.87484676	0.011619461	0.16160001	79.0	163.05155897140503
